metric,value
accuracy,0.49950000000000006
precision,0.49673202614379086
recall,1.0
f1,0.6637554585152838
specificity,0.010869565217391304
tp,988
fp,1001
tn,11
fn,0
avg_latency_ms,6.339436054229736
n,2000
