fold,acc,prec,rec,f1,spec,tp,fp,fn,tn,latency_ms
1,0.998,0.9960159362549801,1.0,0.998003992015968,0.996,1000,4,0,996,8.71957559999646
2,0.998,0.9970059880239521,0.999,0.998001998001998,0.997,999,3,1,997,9.128079199999775
3,0.9985,0.9970089730807578,1.0,0.9985022466300548,0.997,1000,3,0,997,9.587851300002512
4,0.996,0.9940239043824701,0.998,0.9960079840319361,0.994,998,6,2,994,8.913169650000782
5,0.998,0.9960159362549801,1.0,0.998003992015968,0.996,1000,4,0,996,9.234927999998035
