fold,subject,train_faces,k_shots,threshold,accuracy,precision,recall,f1,video_acc,tp,fp,fn,tn,n_frames,n_videos,time_s
1,01,3726,10,0.1,0.7411764705882353,0.6944444444444444,0.43103448275862066,0.5319148936170212,0.6666666666666666,25,11,33,101,170,3,206.8855221271515
2,02,3726,10,0.8899999999999996,0.6235294117647059,0.25,0.05172413793103448,0.08571428571428572,0.6666666666666666,3,9,55,103,170,3,199.41900038719177
3,03,3726,10,0.21999999999999995,0.8823529411764706,0.765625,0.9074074074074074,0.8305084745762712,1.0,49,15,5,101,170,3,208.10933089256287
4,04,3726,10,0.7799999999999997,0.6,0.0,0.0,0.0,0.6666666666666666,0,11,57,102,170,3,244.11996388435364
5,05,3726,10,0.1,0.7529411764705882,0.782608695652174,0.32727272727272727,0.46153846153846156,0.6666666666666666,18,5,37,110,170,3,182.37914896011353
6,06,3726,10,0.17999999999999997,0.6176470588235294,0.4,0.2413793103448276,0.3010752688172043,1.0,14,21,44,91,170,3,187.22297525405884
7,07,3726,10,0.2599999999999999,0.4470588235294118,0.3511450381679389,0.8363636363636363,0.49462365591397844,0.3333333333333333,46,85,9,30,170,3,230.6735348701477
8,08,3726,10,0.1,0.32941176470588235,0.3333333333333333,0.9655172413793104,0.495575221238938,0.3333333333333333,56,112,2,0,170,3,177.6696321964264
9,09,3726,10,0.6999999999999996,0.6,0.14285714285714285,0.034482758620689655,0.05555555555555555,0.6666666666666666,2,12,56,100,170,3,203.0103976726532
10,10,3726,10,0.5999999999999998,0.6176470588235294,0.45454545454545453,0.9090909090909091,0.6060606060606061,0.3333333333333333,50,60,5,55,170,3,179.69070959091187
11,11,3726,10,0.13,0.6411764705882353,0.4731182795698925,0.7857142857142857,0.5906040268456376,0.6666666666666666,44,49,12,65,170,3,186.6493513584137
12,12,3726,10,0.2599999999999999,0.4764705882352941,0.32653061224489793,0.5818181818181818,0.4183006535947712,0.3333333333333333,32,66,23,49,170,3,222.05594658851624
13,13,3726,10,0.1,0.3176470588235294,0.3105590062111801,0.9090909090909091,0.46296296296296297,0.3333333333333333,50,111,5,4,170,3,191.90818238258362
14,14,3726,10,0.3599999999999999,0.6176470588235294,0.37037037037037035,0.1724137931034483,0.23529411764705885,0.6666666666666666,10,17,48,95,170,3,174.85595417022705
15,15,3726,10,0.1,0.6529411764705882,0.0,0.0,0.0,0.6666666666666666,0,2,57,111,170,3,186.42326474189758
16,16,3726,10,0.5699999999999997,0.5,0.375,0.7368421052631579,0.4970414201183431,0.6666666666666666,42,70,15,43,170,3,174.61524105072021
17,17,3726,10,0.8499999999999996,0.3941176470588235,0.140625,0.15789473684210525,0.1487603305785124,0.3333333333333333,9,55,48,58,170,3,186.73131656646729
18,18,3726,10,0.3899999999999999,0.7411764705882353,0.7352941176470589,0.4166666666666667,0.5319148936170213,0.6666666666666666,25,9,35,101,170,3,197.25821352005005
19,19,3726,10,0.1,0.8117647058823529,0.6404494382022472,1.0,0.7808219178082192,0.6666666666666666,57,32,0,81,170,3,185.88427543640137
20,20,3726,10,0.1,0.6294117647058823,0.4461538461538462,0.5178571428571429,0.4793388429752066,0.6666666666666666,29,36,27,78,170,3,190.4976408481598
21,21,3726,10,0.8099999999999996,0.40588235294117647,0.0,0.0,0.0,0.6666666666666666,0,42,59,69,170,3,205.2736942768097
22,22,3726,10,0.47999999999999976,0.6176470588235294,0.0,0.0,0.0,0.6666666666666666,0,9,56,105,170,3,202.21670055389404
23,23,3726,10,0.7699999999999997,0.5705882352941176,0.2222222222222222,0.1509433962264151,0.1797752808988764,0.6666666666666666,8,28,45,89,170,3,210.58986711502075
24,24,3726,10,0.3199999999999999,0.6941176470588235,0.5416666666666666,0.6724137931034483,0.6,0.6666666666666666,39,33,19,79,170,3,184.98676180839539
