format,model_size_mb,accuracy,precision,recall,f1,specificity,latency_ms,throughput,total,tp,fp,fn,tn
Keras float32,48.09758472442627,0.636,0.7847826086956522,0.36464646464646466,0.4979310344827586,0.901980198019802,5.573458400001982,179.42181106073105,2000,361,99,629,911
TFLite dynamic-range,4.3603057861328125,0.637,0.7986425339366516,0.3565656565656566,0.4930167597765364,0.9118811881188119,3.9668796500191092,252.08730494134926,2000,353,89,637,921
