theta_a,theta_f,coverage,correctness,product,f1,false_alarm_pct,accuracy,refused
0.39,0.6,0.9270833333333334,0.5335830212234707,0.49467592592592596,0.3646258503401361,37.604166666666664,53.35830212234707,315
0.39,0.61,0.9231481481481482,0.5348545636910732,0.49374999999999997,0.3645083932853717,37.15277777777778,53.48545636910732,332
0.39,0.62,0.9194444444444444,0.5360020140986909,0.4928240740740741,0.36426353915143156,36.736111111111114,53.600201409869086,348
0.38,0.6,0.9226851851851852,0.5331159056698445,0.49189814814814814,0.3654960790998977,37.604166666666664,53.31159056698445,334
0.39,0.63,0.9143518518518519,0.5374683544303798,0.4914351851851852,0.36363636363636365,36.18055555555556,53.74683544303798,370
0.38,0.61,0.91875,0.5343915343915344,0.4909722222222222,0.36538461538461536,37.15277777777778,53.43915343915344,351
0.37,0.6,0.9199074074074074,0.532964267740312,0.49027777777777776,0.366120218579235,37.604166666666664,53.296426774031204,346
0.38,0.62,0.9150462962962963,0.535542625853782,0.49004629629629637,0.3651452282157676,36.736111111111114,53.5542625853782,367
0.39,0.64,0.9097222222222222,0.5384223918575064,0.48981481481481487,0.36216596343178625,35.729166666666664,53.84223918575064,390
0.37,0.61,0.9159722222222222,0.5342431134698004,0.4893518518518518,0.36601307189542487,37.15277777777778,53.42431134698003,363
0.38,0.63,0.9099537037037037,0.5370134825744085,0.4886574074074073,0.3645251396648045,36.18055555555556,53.70134825744085,389
0.39,0.65,0.9071759259259259,0.5386578208726716,0.4886574074074073,0.36067892503536064,35.520833333333336,53.865782087267156,401
0.37,0.62,0.9122685185185185,0.5353971073331641,0.48842592592592593,0.36577762383096646,36.736111111111114,53.53971073331641,379
0.39,0.66,0.9053240740740741,0.5389925850166198,0.48796296296296304,0.3599574014909478,35.34722222222222,53.89925850166198,409
0.36000000000000004,0.6,0.9148148148148149,0.5331477732793523,0.48773148148148154,0.36750085704490915,37.604166666666664,53.314777327935225,368
0.38,0.64,0.9053240740740741,0.537969828688315,0.48703703703703705,0.3630595699682764,35.729166666666664,53.7969828688315,409
