metric,value
face_detection_rate,100.0
face_missed_rate,0.0
classifier_accuracy,87.6
classifier_precision,0.8208191126279863
classifier_recall,0.962
classifier_f1,0.885819521178637
classifier_specificity,0.79
face_detection_median_ms,17.450100000132807
classifier_median_ms,3.877800001646392
tp,962
fp,210
tn,790
fn,38

window_frames,window_seconds,fa_rate_pct,detection_rate_pct
15,0.5,0.00,55.50
30,1.0,0.00,26.90
45,1.5,0.00,9.80
60,2.0,0.00,3.60
90,3.0,0.00,0.00
120,4.0,0.00,0.00
