fold,accuracy,precision,recall,f1,specificity,latency_ms,tp,fp,fn,tn
1,0.9895,0.9860973187686196,0.993,0.9895366218236172,0.986,4.633608500000264,993,14,7,986
2,0.9875,0.9899497487437185,0.985,0.9874686716791979,0.99,4.579865799998515,985,10,15,990
3,0.985,0.9830677290836654,0.987,0.9850299401197605,0.983,4.526115150001715,987,17,13,983
4,0.989,0.9899799599198397,0.988,0.988988988988989,0.99,4.535408449999522,988,10,12,990
5,0.9855,0.9869608826479438,0.984,0.985478217325989,0.987,4.556978000000527,984,13,16,987
